From,To,Strength
2858209218,1032981309595906048,6
2858209218,1081707007214845953,5
2858209218,1136049023381639169,6
2858209218,113696373,7
2858209218,1171030339491422208,13
2858209218,1309416739,8
2858209218,13502732,5
2858209218,145310045,6
2858209218,22435827,18
2858209218,2444019684,5
2858209218,2446000656,5
2858209218,248770195,5
2858209218,2548823622,11
2858209218,2870171129,33
2858209218,334862183,5
2858209218,340810504,5
2858209218,384628461,23
2858209218,425310228,9
2858209218,591672691,28
2858209218,60467068,5
2858209218,69679166,5
2858209218,740728091924910081,7
2858209218,740949840,8
2858209218,802771255342469120,5
2858209218,816296210713681920,6
2858209218,828012211784339456,5
2858209218,856650411213815808,5
2858209218,867929010877190144,10
2858209218,882000336390672384,15
2858209218,990471215079768064,41
